Id,Label,Art_num
781,Adrian Borcz,42
782,Stanisław Borczak,7
783,Maria Borczuch-Łączka,188
784,Aleksandra Borecka,61
785,Jacek Borek,2
786,Maciej Borek,5
787,Alessia Borghini,2
788,Jan Borgosz,34
789,Olga Borgula,1
790,Tode Gildas (Vodounon) Boris,1
791,Magdalena Paulina Bork,3
792,Olaf Borkiewicz,2
793,Eliza Borkowska,1
794,Katarzyna Borkowska,1
795,Andrzej Borkowski,20
796,Bartłomiej Borkowski,58
797,Dariusz Borkowski,58
798,Karol Borkowski,12
799,Mateusz Borkowski,3
800,Radosław Borkowski,3
801,Robert Borkowski,51
802,Wiktor Bornus,1
803,Adam Boroń,16
804,Artur Boroń,12
805,Aleksandra Boroń-Filek,10
806,Grzegorz Boroń,1
807,Krzysztof Boroń,21
808,Łukasz Boroń,13
809,Jan Boroński,34
810,Paulina Borowiak,17
811,Ewa Borowicz,1
812,Maciej Borowicz,5
813,Anna Borowiec,9
814,Maciej Borowiec,6
815,Marta Borowiec,8
816,Marta Borowiec,18
817,Natalia Borowiec,31
818,Rafał Borowiec,1
819,Władysław Borowiec,19
820,Miłosz Borowiecki,1
821,Daria Borowik,1
822,Grzegorz Borówka,6
823,Maciej Borówka,3
824,Maciej Borówka,4
825,Krzysztof Borowski,2
826,Łukasz Borowski,25
827,Marek Borowski,255
828,Łukasz Borsuk,11
829,Bartłomiej Boruchowski,3
830,Marcin Boruchowski,2
831,Mateusz Boruchowski,4
832,Aleksandra Boruta,1
833,Piotr Boruta,8
834,Bożena Boryczko,55
835,Krzysztof Boryczko,67
836,Tomasz Boryczko,1
837,Piotr Boryło,51
838,Edyta Borysławska,2
839,Adrian Bosak,1
840,Tomasz Bosak,1
841,Piotr Boszkowicz,11
842,Dariusz Botor,85
843,Agnieszka Bożęcka,37
844,Piotr Bożęcki,57
845,Bogusław Bożek,94
846,Piotr Bożek,73
847,Amir Bozorg,2
848,Karolina Bracka-Kęsek,5
849,Artur Bradecki,20
850,Joanna Brania,1
851,Krzysztof Brania,3
852,Wacław Branicki,49
853,Emilia Branny,1
854,Marian Branny,93
855,Michał Braś,18
856,Michał Braszkiewicz,0
857,Joanna Bratek,2
858,Piotr Bratek,51
859,Elżbieta Bratuszewska,2
860,Krzysztof Brawata,50
861,Wojciech Brekiesz,2
862,Mateusz Brela,1
863,Joanna Brezdeń,2
864,Katarzyna Brochowska,1
865,Leo Brockhuis,1
866,Dariusz Broda,13
867,Jakub Broda,1
868,Krzysztof Broda,41
869,Marek Broda,1
870,Piotr Broda,6
871,Zdzisław Jan Broda,5
872,Maciej Brodacki,1
873,Ewelina Brodawka,39
874,Łukasz Brodawka,3
875,Piotr Brodawka,1
876,Mateusz Brodowicz,1
877,Andrzej Brodzicki,15
878,Michał Brodzicki,1
879,Jan Bromowicz,72
880,Jakub Bronicki,3
881,Marian Bronicki,18
882,Anna Broniec-Wójcik,20
883,Zdzisław Broniec,30
884,Karolina Bronikowska-Dąbroś,2
885,Anna Broniowska,4
886,Andrzej Broński,1
887,Ewelina Broś,8
888,Michał Broś,2
889,Marcin Broszkiewicz,1
890,Alicja Brożek,25
891,Grzegorz Brożek,9
892,Janusz Brożek,35
893,Marcin Brożek,3
894,Marian Brożek,52
895,Aleksander Brożyna,2
896,Marek Brożyna,1
897,Michał Brożyna,15
898,Andrzej Brückman,1
899,Andrzej Brudnik,78
900,Anna Brudny,5
901,Piotr Brudny,1
902,Grzegorz Brus,131
903,Grzegorz Bruzda,15
904,Patrycja Bruździńska,1
905,Damian Bryk,4
906,Jakub Bryła,37
907,Krzysztof Bryła,7
908,Mateusz Bryła,1
909,Tomasz Brylewski,337
910,Witold Brylicki,88
911,Agata Bryłka,1
912,Elżbieta Brylska,33
913,Joanna Brynecka,1
914,Michał Bryś,3
915,Wojciech Bryś,1
916,Aleksandra Brytańczyk,1
917,Janusz Brzdęk,30
918,Wiesław Brzegowy,1
919,Mateusz Brzęk,3
920,Marek Brzeżański,1
921,Adam Brzeziak,5
922,Marcin Brzezicki,1
923,Jadwiga Brzezińska-Miecznik,35
924,Marcin Brzeziński,78
925,Kinga Brzóska,1
926,Maria Brzóska,3
927,Agnieszka Brzoza-Kos,13
928,Robert Brzoza-Woch,37
929,Agnieszka Brzózka,21
930,Anna Brzozowska,1
931,Emilia Brzozowska,1
932,Artur Brzozowski,1
933,Ireneusz Brzozowski,60
934,Rafał Brzuchacz,2
935,Edyta Brzychczy,127
936,Stanisław Brzychczy,19
937,Beata Brzychczyk,20
938,Piotr Brzychczyk,4
939,Jan Brzyk,7
940,Jolanta Bubak-Lange,1
941,Marian Bubak,458
942,Paulina Bublik,1
943,Zbigniew Bubliński,33
944,Piotr Bubrowski,4
945,Gabriel Buchała,13
946,Ilona Buchała,1
947,Weronika Buchała,2
948,Szymon Buchaniec,14
949,Beata Buchelt,1
950,Wojciech Buchner,11
951,Katarzyna Bucka,0
952,Mirosław Bućko,600
953,Agnieszka Bućwińska,1
954,Dawid Buczak,1
955,Magdalena Buczak,3
956,Andrzej Buczek,70
957,Bronisław Buczek,232
958,Łukasz Buczek,34
959,Michał Buczek,10
960,Paweł Buczek,3
961,Tomasz Buczek,1
962,Mateusz Buczkowski,10
963,Joanna Buczyńska,14
964,Monika Buczyńska,2
965,Rafał Buczyński,5
966,Małgorzata Budas,3
967,Leokadia Budek,7
968,Andrzej Budziak,71
969,Szymon Budziak,1
970,Karina Budzińska,1
971,Aleksander Budziński,3
972,Paweł Budzioch,2
